title,source,description,published_at,sentiment
"Airtel, M&M, HCL Tech: 12 Nifty stks form 'Death Cross' on charts in March",gnews,"Stock Market: Technical charts show that Nifty and its 12 stocks including Infosys, Reliance, Bharti Airtel, Asian Paints, HCL Tech and Bajaj Finance saw their 50-DMA slip below 200-DMA amid March market crash.",2026-03-30 05:29:20+00:00,-0.24
"most bid for IPO, set to slip below issue price",gnews,"After making its stock market debut at a 110% premium to its issue price back in September 2024, Bajaj Housing Finance went on to hit a post-listing high of ₹188.5. The stock is now down 60% from those levels.",2026-03-30 04:55:34+00:00,0.0
"Top stocks to buy: Stock recommendations for March 30, 2026 week",gnews,"India Business News: Stock market recommendations: Ipca Laboratories, and AU Small Finance Bank are the stocks that Motilal Oswal Wealth Management Research Desk recommend.",2026-03-30 02:57:00+00:00,0.3
Stock market crash drives over 900 stocks to their 52-week lows on BSE; Sensex down 15% from its peak,gnews,"As many as 906 stocks, including HAL, Tata Motors Passenger Vehicles, Swiggy, Bajaj Housing Finance, IDBI Bank, Indian Overseas Bank, and Lodha Developers, hit their 52-week lows in intraday trade on the BSE.",2026-03-27 10:38:56+00:00,-0.19999999999999998
"Stock Market News Today: Sensex Crashes 850 Points, Nifty Slips Below 23,100 - Tata Steel, Bajaj Finance Drop 2% Each",gnews,"Indian markets fell sharply on Friday, with Sensex dropping over 850 points and Nifty below 23,100, amid weak global cues, rupee hitting record lows, and rising concerns over oil prices., Markets, Times Now",2026-03-27 03:52:43+00:00,-0.33076923076923076
"Shares to buy or sell: Ruchit Jain of Motilal Oswal recommends Bajaj Finance, Granules stock to buy today - 25 March",gnews,"The domestic stock markets rebounded on March 25, with Nifty 50 up 0.66% and BSE Sensex rising 0.79% amid improved investor sentiment following potential US-Iran ceasefire reports. Crude oil prices fell, while gold and silver prices increased, indicating cautious optimism in the market.",2026-03-25 04:21:46+00:00,0.41666666666666663
"Sensex Today | Stock Market Live: Sensex soars 1,200 pts, Nifty reclaims 23,300; broader markets rally",gnews,"Sensex Today | Stock Market LIVE Updates: Indian benchmark indices start the session on a positive note with Nifty50 index reclaiming 23300 on expectations that de-escalation in the Iran conflict. Except IT, all other sectoral indices are trading in the green. Shriram Finance, M&M, SBI, Titan Company, TMPV were among major gainers on the Nifty, while losers were Tech Mahindra, Infosys, HCL Tech, Power Grid Corp and ONGC. Nifty Midcap and smallcap indices up nearly 2% each.",2026-03-25 01:18:00+00:00,0.6266666666666667
Digital Learning in Finance: Why Stock Market Basics Are Now at Your Fingertips,gnews,"Explore how digital learning in finance has transformed education, making stock market knowledge accessible to everyone.",2026-03-24 18:09:39+00:00,0.0
"Stock Market Close: Sensex Crashes Over 1,830 Points, Nifty Tests 22,548; What's Leading The Fall",gnews,"Stock Market Today Live Updates: Indian equity benchmarks ended deep in the red on March 23, with the Nifty closing just above the 22,500 mark as widespread selling pressure gripped all sectors. At the closing bell, the Sensex tumbled 1,836.57 points, or 2.46 per cent, to settle at 72,696.39, while the Nifty declined 601.85 points, or 2.60 per cent, to end at 22,512.65. Market breadth remained heavily skewed towards declines, with 592 stocks advancing, 3,654 falling, and 114 remaining unchanged.Among the top losers on the Nifty were Shriram Finance, Trent, UltraTech Cement, Titan Company, and Jio Financial. On the other hand, HCL Technologies, ONGC, Power Grid Corp, and Infosys managed to buck the trend and close in the green.Selling was broad-based across sectors, with all sectoral indices finishing lower. Realty, capital goods, consumer durables, metals, telecom, and PSU banks led the losses, shedding between 4–5 per cent. Meanwhile, auto, energy, media, private banks, and oil & gas indices declined around 3 per cent each.The broader markets also mirrored the weak sentiment, with the Nifty Midcap and Smallcap indices falling nearly 4 per cent each, highlighting the intensity of the sell-off beyond frontline stocks., Business News, Times Now",2026-03-23 11:10:25+00:00,-0.6555555555555556
Stock Market Crash: Rs 13 Lakh Crore Gone; What Triggered Today’s Wealth Wipeout Amid Iran War?,gnews,"The fall was widespread, with all 30 Sensex stocks trading in the red. Heavyweights like Tata Steel, State Bank of India, HDFC Bank, Bajaj Finance, Titan, and Mahindra & Mahindra led the losses, declining 2–3 per cent., Markets, Times Now",2026-03-23 05:53:09+00:00,-0.66
